Name,mode,scale,label,eta,validity,fid,sfid,is,precision,recall
guide_mode=classifier+scale=0.1+label=8,classifier,0.1,8,1,0.3652,91.93273813,114.6269429,7.021482468,0.350585938,0.57
guide_mode=classifier+scale=0.1+label=6,classifier,0.1,6,1,0.2471,90.92563673,137.488113,6.851516247,0.373046875,0.574
guide_mode=dynamic-two-0.5*a*(1-a)+scale=20+label=1,dynamic-two-0.5*a*(1-a),20,1,1,0.8208,39.47601466,122.0329791,3.34164381,0.606445313,0.517
guide_mode=dynamic-two-0.1*a*(1-a)+scale=20+label=1,dynamic-two-0.1*a*(1-a),20,1,1,0.8135,40.35925098,120.4998502,3.390681744,0.5859375,0.474
guide_mode=dynamic-fonly+scale=20+label=1,dynamic-fonly,20,1,1,0.8174,41.01689455,120.5252003,3.402999878,0.583984375,0.443
guide_mode=manifold+scale=2+label=1,manifold,2,1,1,0.7583,41.12757651,117.742019,3.625943184,0.551269531,0.517
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=20+label=1,dynamic-two-0.1*a-0.1*(1-a),20,1,1,0.8257,41.36445599,120.4194045,3.355816364,0.592285156,0.459
guide_mode=classifier+scale=0.1+label=1,classifier,0.1,1,1,0.2544,91.31600991,128.3873834,6.622757912,0.265625,0.627
guide_mode=manifold+scale=5+label=1,manifold,5,1,1,0.8374,43.0151285,120.6015044,3.541133165,0.59375,0.453
guide_mode=dynamic-nog-0.1*a+scale=20+label=1,dynamic-nog-0.1*a,20,1,1,0.8257,43.83993853,121.0964433,3.412744522,0.569335938,0.414
guide_mode=dynamic-nog-0.1+scale=20+label=1,dynamic-nog-0.1,20,1,1,0.8188,44.54667536,121.1898699,3.460477591,0.565429688,0.396
guide_mode=classifier+scale=0.25+label=8,classifier,0.25,8,1,0.7139,50.10962847,113.2602861,4.763685226,0.532226563,0.472
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=20+label=1,dynamic-two-0.5*a-0.5*(1-a),20,1,1,0.8169,46.32911208,123.8813494,3.346128702,0.563964844,0.405
guide_mode=classifier+scale=0.25+label=1,classifier,0.25,1,1,0.5557,50.80467534,116.1522749,4.372646809,0.458496094,0.554
guide_mode=classifier+scale=0.25+label=6,classifier,0.25,6,1,0.4985,60.22213357,130.3255532,5.336591721,0.483398438,0.553
guide_mode=manifold+scale=1+label=1,manifold,1,1,1,0.6523,48.45298267,118.4770481,4.190791607,0.482421875,0.559
guide_mode=dynamic-fonly+scale=2+label=8,dynamic-fonly,2,8,1,0.4697,81.43084269,112.7443244,5.952154636,0.381835938,0.584
guide_mode=dynamic-fonly+scale=5+label=8,dynamic-fonly,5,8,1,0.6567,58.83618454,111.2357555,4.879744053,0.455078125,0.543
guide_mode=dynamic-fonly+scale=20+label=8,dynamic-fonly,20,8,1,0.8354,43.89801454,112.9396623,4.087569237,0.567382813,0.475
guide_mode=dynamic-fonly+scale=50+label=8,dynamic-fonly,50,8,1,0.8384,53.44156082,114.1105496,4.277777672,0.533691406,0.434
guide_mode=classifier+scale=0.5+label=1,classifier,0.5,1,1,0.7344,36.3049335,113.7938747,3.531636477,0.588867188,0.519
guide_mode=dynamic-two-0.5*a*(1-a)+scale=50+label=1,dynamic-two-0.5*a*(1-a),50,1,1,0.856,50.88155734,126.7993059,3.488781452,0.583984375,0.436
guide_mode=dynamic-two-0.1*a*(1-a)+scale=5+label=1,dynamic-two-0.1*a*(1-a),5,1,1,0.5928,50.91736337,119.2403129,4.352523804,0.471191406,0.557
guide_mode=dynamic-two-0.5*a*(1-a)+scale=5+label=1,dynamic-two-0.5*a*(1-a),5,1,1,0.5923,51.08899322,123.0485658,4.364199162,0.486328125,0.58
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=5+label=1,dynamic-two-0.1*a-0.1*(1-a),5,1,1,0.6123,51.73640367,119.2535839,4.297528267,0.4609375,0.559
guide_mode=dynamic-fonly+scale=5+label=1,dynamic-fonly,5,1,1,0.5913,51.79402128,118.7818072,4.395249367,0.461425781,0.558
guide_mode=dynamic-two-0.1*a*(1-a)+scale=50+label=1,dynamic-two-0.1*a*(1-a),50,1,1,0.8413,51.83667632,125.9177474,3.502999067,0.557617188,0.423
guide_mode=dynamic-fonly+scale=100+label=8,dynamic-fonly,100,8,1,0.7866,68.79786826,115.9085438,4.55909729,0.469238281,0.414
guide_mode=dynamic-fonly+scale=50+label=1,dynamic-fonly,50,1,1,0.8403,53.07912344,126.0834126,3.45758152,0.559082031,0.384
guide_mode=dynamic-full-0.1*a*(1-a)+scale=2+label=8,dynamic-full-0.1*a*(1-a),2,8,1,0.1162,138.3623515,129.5940087,8.114790916,0.228027344,0.613
guide_mode=dynamic-full-0.1*a*(1-a)+scale=5+label=8,dynamic-full-0.1*a*(1-a),5,8,1,0.126,137.2833198,128.7624802,8.013393402,0.232421875,0.601
guide_mode=dynamic-full-0.1*a*(1-a)+scale=20+label=8,dynamic-full-0.1*a*(1-a),20,8,1,0.1699,128.861482,125.4735874,7.762411594,0.23828125,0.611
