Name,mode,scale,label,kid,fid,sfid,faceid,losstype,eta
guide_mode=dynamic-nog-0.1*a+scale=100+target=03437+losstype=cosine+eta=1.0,dynamic-nog-0.1*a,100,3437,0.044452541,54.28897308,126.6545431,0.809262455,cosine,1.0
guide_mode=dynamic-nog-0.1*a+scale=100+target=03437+losstype=l2+eta=1.0,dynamic-nog-0.1*a,100,3437,0.044459868,54.28629898,126.6454464,0.80925566,l2,1.0
guide_mode=dynamic-nog-0.1*a+scale=100+target=14255+losstype=cosine+eta=1.0,dynamic-nog-0.1*a,100,14255,0.044329736,54.15301332,127.0109663,0.782627583,cosine,1.0
guide_mode=dynamic-nog-0.1*a+scale=100+target=14255+losstype=l2+eta=1.0,dynamic-nog-0.1*a,100,14255,0.04435027,54.16266383,127.0136197,0.782628953,l2,1.0
guide_mode=dynamic-nog-0.1*a+scale=100+target=21177+losstype=cosine+eta=1.0,dynamic-nog-0.1*a,100,21177,0.044202879,54.01475855,127.1953264,0.939073861,cosine,1.0
guide_mode=dynamic-nog-0.1*a+scale=100+target=21177+losstype=l2+eta=1.0,dynamic-nog-0.1*a,100,21177,0.044202417,54.01824663,127.1842657,0.939067543,l2,1.0
guide_mode=dynamic-nog-0.1*a+scale=1000+target=03437+losstype=cosine+eta=1.0,dynamic-nog-0.1*a,1000,3437,0.047406409,57.17510045,133.7315789,0.500359118,cosine,1.0
guide_mode=dynamic-nog-0.1*a+scale=1000+target=14255+losstype=l2+eta=1.0,dynamic-nog-0.1*a,1000,14255,0.045174081,55.14704437,132.8342782,0.419657856,l2,1.0
guide_mode=dynamic-nog-0.1*a+scale=200+target=03437+losstype=cosine+eta=1.0,dynamic-nog-0.1*a,200,3437,0.04478731,54.66757034,127.4589174,0.727031887,cosine,1.0
guide_mode=dynamic-nog-0.1*a+scale=200+target=03437+losstype=l2+eta=1.0,dynamic-nog-0.1*a,200,3437,0.044787779,54.671899,127.4736465,0.727025807,l2,1.0
guide_mode=dynamic-nog-0.1*a+scale=200+target=14255+losstype=cosine+eta=1.0,dynamic-nog-0.1*a,200,14255,0.044659443,54.46949275,127.6137785,0.694585025,cosine,1.0
guide_mode=dynamic-nog-0.1*a+scale=200+target=14255+losstype=l2+eta=1.0,dynamic-nog-0.1*a,200,14255,0.044648875,54.46268372,127.6305852,0.694621563,l2,1.0
guide_mode=dynamic-nog-0.1*a+scale=200+target=21177+losstype=cosine+eta=1.0,dynamic-nog-0.1*a,200,21177,0.04421936,54.15997163,127.7442567,0.861823082,cosine,1.0
