"Name","setting","iteration","mode","scale","timesteps","label","validity","fid","sfid","is","precision","recall","shrink_x0"
"guide_mode=manifold+scale=30+label=5+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","30","100","5","0.7534","93.2638909796956","125.5461381273426","6.5725250244140625","0.59326171875","0.555","false"
"guide_mode=manifold+scale=30+label=3+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","30","100","3","0.646","56.77503553935679","127.54735711812792","5.5611419677734375","0.51416015625","0.556","false"
"guide_mode=manifold+scale=30+label=9+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","30","100","9","0.7471","52.592534133887995","122.75740896683476","3.5845835208892822","0.44140625","0.642","false"
"guide_mode=manifold+scale=30+label=1+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","30","100","1","0.856","39.00299010375588","120.49105754408596","3.2817461490631104","0.6396484375","0.496","false"
"guide_mode=manifold+scale=30+label=7+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","30","100","7","0.7378","53.828957911006626","110.63096042338988","5.178079128265381","0.4765625","0.545","false"
"guide_mode=manifold+scale=25+label=5+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","25","100","5","0.7539","87.50217825219664","125.01719333179516","6.321873188018799","0.59619140625","0.605","false"
"guide_mode=manifold+scale=25+label=3+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","25","100","3","0.6504","53.71778170970214","127.48482946650984","5.308004379272461","0.5322265625","0.566","false"
"guide_mode=manifold+scale=25+label=9+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","25","100","9","0.7393","53.637386669900366","123.26903833957488","3.6514151096343994","0.43798828125","0.646","false"
"guide_mode=manifold+scale=25+label=1+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","25","100","1","0.8335","38.84169317606461","120.05188695422636","3.374375820159912","0.63037109375","0.486","false"
"guide_mode=manifold+scale=25+label=7+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","25","100","7","0.7305","52.98575076636109","110.5940469184061","5.0905375480651855","0.48193359375","0.559","false"
"guide_mode=manifold+scale=15+label=9+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","15","100","9","0.6899","56.08329021936345","122.10696687045834","3.929638385772705","0.41162109375","0.64","false"
"guide_mode=manifold+scale=15+label=3+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","15","100","3","0.6406","52.24087555777862","126.82029216311209","5.292206287384033","0.5556640625","0.598","false"
"guide_mode=manifold+scale=15+label=5+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","15","100","5","0.7529","78.92830053350178","123.1852517247098","6.403740882873535","0.5712890625","0.582","false"
"guide_mode=manifold+scale=15+label=7+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","15","100","7","0.6592","54.462046645380155","110.26152268155433","5.383480548858643","0.48876953125","0.575","false"
"guide_mode=manifold+scale=15+label=1+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","15","100","1","0.7964","36.915574308412545","118.55152954353014","3.50455093383789","0.59814453125","0.524","false"
"guide_mode=manifold+scale=30+label=8+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","30","100","8","0.8555","39.27783801646291","111.20604648450524","3.711398124694824","0.59765625","0.468","false"
"guide_mode=manifold+scale=30+label=4+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","30","100","4","0.7163","64.0235755892611","126.95809699707092","5.900582313537598","0.63720703125","0.537","false"
"guide_mode=manifold+scale=30+label=2+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","30","100","2","0.6646","60.58530048014143","124.18931211895824","5.865118503570557","0.71240234375","0.365","false"
"guide_mode=manifold+scale=30+label=6+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","30","100","6","0.7314","49.93183784092429","132.67914089889962","4.3014726638793945","0.59716796875","0.552","false"
"guide_mode=manifold+scale=30+label=0+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","30","100","0","0.5957","67.66390948226098","122.14656327611442","6.117696285247803","0.4423828125","0.586","false"
"guide_mode=manifold+scale=25+label=8+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","25","100","8","0.8462","39.76532692348803","111.04971134771245","3.817211627960205","0.58935546875","0.479","false"
"guide_mode=manifold+scale=25+label=4+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","25","100","4","0.6929","62.869203004406415","126.99150116198678","6.033444881439209","0.64892578125","0.548","false"
"guide_mode=manifold+scale=25+label=2+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","25","100","2","0.6519","59.860403022779224","123.94466123355572","5.714354991912842","0.69677734375","0.393","false"
"guide_mode=manifold+scale=25+label=6+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","25","100","6","0.7349","48.40985119115322","132.12464517792512","4.214287757873535","0.595703125","0.567","false"
"guide_mode=manifold+scale=25+label=0+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","25","100","0","0.5884","66.50414587514206","121.85624982424748","6.046154022216797","0.44775390625","0.618","false"
"guide_mode=manifold+scale=15+label=8+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","15","100","8","0.8022","41.45905713804342","110.83830962623972","4.076628684997559","0.57763671875","0.484","false"
"guide_mode=manifold+scale=15+label=6+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","15","100","6","0.6777","50.97917185832267","130.1332910609832","4.6346049308776855","0.572265625","0.591","false"
"guide_mode=manifold+scale=15+label=4+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","15","100","4","0.689","63.77915497749581","127.1686479248874","6.092190265655518","0.6142578125","0.573","false"
"guide_mode=manifold+scale=15+label=2+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","15","100","2","0.6157","59.83530934861028","123.4341940096458","5.78489351272583","0.708984375","0.417","false"
"guide_mode=manifold+scale=15+label=0+setting=present+iter=1+shrink_cond_x0=False+timesteps=100","present","1","manifold","15","100","0","0.521","67.38805448397363","120.91570372336366","6.080943584442139","0.453125","0.623","false"
